"X1","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","S.N","BlkRatio","rawArea"
7,"170717_Smp_SPEpH5-nospike_1","Phenylalanine",1.26,NA,64776204,64704503,12364615,5.489975927,13.1329541,0.001106903,64776204
8,"170717_Smp_SPEpH5-nospike_2","Phenylalanine",1.26,NA,37789848,37718147,7716264,5.549523714,8.942392517,0.001897361,37789848
9,"170717_Smp_SPEpH5-nospike_3","Phenylalanine",1.26,NA,39524024,39452323,7732384,5.504387603,10.06866451,0.001814112,39524024
10,"170717_Smp_SPEpH5-spikeafter_1a","Phenylalanine",1.28,NA,320331936,320260235,61188100,5.459978851,21.76681593,0.000223833,320331936
11,"170717_Smp_SPEpH5-spikeafter_1b","Phenylalanine",1.385,NA,332615648,332543947,64806864,5.364976193,19.75800592,0.000215567,332615648
12,"170717_Smp_SPEpH5-spikeafter_1c","Phenylalanine",1.38,NA,346645120,346573419,68267744,5.265795071,19.3750317,0.000206843,346645120
13,"170717_Smp_SPEpH5-spikeafter_2a","Phenylalanine",1.275,NA,188598368,188526667,37137812,5.511818189,15.2941507,0.000380178,188598368
14,"170717_Smp_SPEpH5-spikeafter_2b","Phenylalanine",1.385,NA,201229680,201157979,39826136,5.300980695,17.39104503,0.000356314,201229680
15,"170717_Smp_SPEpH5-spikeafter_2c","Phenylalanine",1.385,NA,203170816,203099115,40121088,5.179568602,13.48116213,0.00035291,203170816
16,"170717_Smp_SPEpH5-spikeafter_3a","Phenylalanine",1.38,NA,120132072,120060371,24550448,5.543069921,13.78979457,0.000596851,120132072
17,"170717_Smp_SPEpH5-spikeafter_3b","Phenylalanine",1.38,NA,124376624,124304923,24984934,5.173695549,15.00834374,0.000576483,124376624
18,"170717_Smp_SPEpH5-spikeafter_3c","Phenylalanine",1.38,NA,128850968,128779267,26183458,5.211433699,14.73145713,0.000556465,128850968
19,"170717_Smp_SPEpH5-spikebefore_1","Phenylalanine",1.26,NA,294102816,294031115,56231556,5.60644954,18.25497588,0.000243796,294102816
20,"170717_Smp_SPEpH5-spikebefore_2","Phenylalanine",1.26,NA,302390688,302318987,63246768,5.588594894,20.40605802,0.000237114,302390688
