"","Compound.Name","spikeafter1","spikeafter2","spikeafter3","spikebefore","percent.recovery","Group"
"79","GMP",1168285.04213262,489132.761700966,229420.129894208,5728.56212361467,0,"Energy charge"
"80","Histidine",447324843.634442,221739376.955251,112204361.751344,0,0,"Amino Acid"
"81","Homocystine",20049476.6460296,9237810.52269492,4095863.9032038,0,0,"New"
"82","Homoserine",77992871.930136,28765714.7319638,13938185.1662257,12056.8651097083,0,"New"
"83","Hydroxyectoine",306008195.092783,129275528.780295,62044069.1084792,41798.4367810173,0,"Osmolyte"
"84","Hydroxylysine",18112792.6887989,8300359.41131354,3872421.64919136,0,0,"Amino Acid - collagen"
"85","Hypotaurine",535607.093664311,477242.831044908,345770.112095858,0,0,"Sulfur"
"86","Isethionic Acid",19177799.9187433,9346978.21416302,4425404.60023568,19130.965191258,0,"Sulfur"
"87","Lysine",29235384.6666667,13708221.6666667,7296609.66666667,201415,0,"Amino Acid"
"88","Malic Acid",20852256.2136562,7464392.54692107,4070294.55283415,110531.934037096,0,"Organic Acid"
"89","MESNA",25311374.4965314,5268925.48717853,235975.391111194,158.76898923459,0,"Sulfur"
"90","Methionine Sulfoxide",290106956.495856,115778154.314884,58628923.953294,2691547.26279029,0,"New"
"91","Methylphosphonic Acid",1771547.03321265,590350.305071652,211110.615138445,0,0,"Organic Acid"
"92","Muramic Acid",130835364.489382,64913038.3128155,30349805.7949573,43707.9721308136,0,"Peptidoglycan"
"93","N-Acetyl-Lysine",2344664320.08393,1051699798.86138,520775688.871832,21112524.1009311,0,"New"
"94","N-Acetyl-Serine",7609628.66666667,1138642,0,0,0,"New"
"95","N-acetyltaurine",80370922.3333333,41654035.6666667,21977568.3333333,0,0,"Sulfur"
"96","N-methyltaurine",97185523.9841264,32190632.6732801,15333217.878734,33534.8221702439,0,"Sulfur"
"97","NADH",203340.548706893,80849.7846992382,6463.6890916591,0,0,"Redox"
"98","Orotic Acid",83368617.2157997,31856637.5884108,16973104.7786297,2272.36751524389,0,"Organic Acid"
"99","Proline",469016834.201509,225098853.065549,116479277.763425,0,0,"Amino Acid"
"100","Propanesulfonate",30575461.346956,15616578.3377415,8082368.64273388,1031.14417626174,0,"Sulfur"
"101","Ribose 5 phosphate",1984675.13422335,962418.459685325,468042.054323648,0,0,"Sugar phosphate"
"102","Sarcosine",32546939.2558827,11414772.393199,5439901.80573011,3218.81707240268,0,"Glycine metabolite"
"103","Serine",1884406.36607594,1513043.02472724,1213527.1942045,2633.82581801161,0,"Amino Acid"
"104","Shikimic Acid",814934.201576945,202646.882377381,110775.384641909,0,0,"Amino Acid synthesis"
"105","Stachydrine hydrochloride",553945662.312739,178047456.644056,78047180.4854875,2062185.51000659,0,"New"
"106","Sucrose",2236469.85547418,1773411.98852156,1414482.59774462,53.9718405330245,0,"New"
"107","Sulfoacetic Acid",14544068.1911444,8185897.28622967,3739075.81970822,122969.074029825,0,"Sulfur"
"108","Sulfolactic",170926.76017611,66355.4434715975,85434.1253633176,907.628570001227,0,"Sulfur"
"109","Taurine",6952497.52409669,2546188.98801424,1447348.23850602,64.1371088926807,0,"Sulfur"
"110","Threonine",20813754.5922504,7384086.5982647,3208136.64468194,118008.729608417,0,"Amino Acid"
"111","trans Hydroxyl proline",424313313.50639,146141086.331789,67910434.2368441,123279.497710247,0,"Amino Acid - collagen"
"112","Trehalose",857133.986568744,376055.575741778,266294.690714686,3.60309224528699,0,"Antioxidant"
"113","Trigonelline",111512785.085694,45890463.6407739,19803729.0645288,596725.267496888,0,"New"
"114","UDP-glucosamine",7599790.04814365,2345189.50971056,1391673.75214127,0,0,"Nucleotide sugar"
"115","UDP-glucose",19776889.2154591,6775981.81210098,3268718.65189809,0,0,"Nucleotide sugar"
"116","Valine",24273813.6892807,10505206.3753196,5195051.37034319,0,0,"Amino Acid"
"117","13C Acetyl CoA",0,0,0,0,NA,"Internal Std"
"118","13C-Isethionic Acid",0,0,0,0,NA,"Internal Std"
"119","13C-Sulfoacetic Acid",0,0,0,0,NA,"Internal Std"
"120","13C-Sulfolactic Acid",0,0,0,0,NA,"Internal Std"
"121","15N AMP",0,0,0,0,NA,"Internal Std"
"122","15N GMP",0,0,0,0,NA,"Internal Std"
"123","D-Methionine",0,0,0,0,NA,"Internal Std"
"124","d3-Cysteic Acid",0,0,0,0,NA,"Internal Std"
"125","d4 Succinic Acid",0,0,0,0,NA,"Internal Std"
"126","d4 Taurine",0,0,0,0,NA,"Internal Std"
"127","Heavy Alanine",0,0,0,0,NA,"Internal Std"
"128","Heavy Histidine",0,0,0,0,NA,"Internal Std"
"129","Heavy Isoleucine",0,0,0,0,NA,"Internal Std"
"130","Heavy Proline",0,0,0,0,NA,"Internal Std"
"131","Heavy Valine",0,0,0,0,NA,"Internal Std"
