,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Area.BlkSub,Height,IR,S.N,Run.Cmpd,runDate,type,SampID,replicate,inj.vol.Norm.Area,d4-Tryptamine.Norm.Area,d-IAA.Norm.Area,D-Phenylalanine.Norm.Area,D-Tryptophan.Norm.Area,Vitamin B1_IS.Norm.Area,Vitamin B2_IS.Norm.Area,D8-Arachidonic Acid.Norm.Area,D5-EPA.Norm.Area,D5-DHA.Norm.Area,D6-Tocopherol.Norm.Area,D3-Pyridoxal.Norm.Area,PooPlusModel.IS,PooPlusModel
18,170518_Smp_SPEpH2_3,Phenylalanine,1.27,NA,238525568,128840784,47935456,5.192974817,14.69382534,170518_Smp_SPEpH2_3 Phenylalanine,170518,Smp,SPEpH2,3,NA,304685370.4,334051865.5,320933879,270315728.2,212369952.8,229238584.9,152370229.4,136513209.8,144594377.4,337593852.8,503209274,D-Phenylalanine.Norm.Area,320933879
19,170518_Smp_SPEpH5_1,Phenylalanine,1.26,NA,324658784,214974000,69066128,5.153910576,17.41253003,170518_Smp_SPEpH5_1 Phenylalanine,170518,Smp,SPEpH5,1,NA,452880471.2,419605935.3,417015275.1,357098178.1,282331145.2,286925575.4,208375328.6,184539272.1,183610951.5,409804504.4,449811173.6,D-Phenylalanine.Norm.Area,417015275.1
20,170518_Smp_SPEpH5_2,Phenylalanine,1.265,NA,192113824,82429040,41259180,5.029088184,15.6407207,170518_Smp_SPEpH5_2 Phenylalanine,170518,Smp,SPEpH5,2,NA,255600035,231830858.6,228640305.6,194016126.7,137354961.1,179444781.2,97065463.86,84887318.47,81715443.52,155581093,255416521.7,D-Phenylalanine.Norm.Area,228640305.6
21,170518_Smp_SPEpH5_3,Phenylalanine,1.27,NA,341098784,231414000,67715288,5.046403167,18.29576895,170518_Smp_SPEpH5_3 Phenylalanine,170518,Smp,SPEpH5,3,NA,427223256,401483311.8,347478154,318345093.3,238125997.1,296222287.6,206250915.3,193162367.7,195104216.6,324271139.7,484554207.6,D-Phenylalanine.Norm.Area,347478154
22,170518_Smp_SPEpH8_1,Phenylalanine,1.23,NA,663069440,553384656,134070488,3.59741973,503.786602,170518_Smp_SPEpH8_1 Phenylalanine,170518,Smp,SPEpH8,1,NA,724858370.6,599939758.8,104235926.1,133657463.3,542813618.5,169394178.1,1593275054,541820656,962392418.7,294434822.1,3784036936,D-Phenylalanine.Norm.Area,104235926.1
23,170518_Smp_SPEpH8_2,Phenylalanine,1.26,NA,149775264,40090480,34715212,5.334479902,14.80450641,170518_Smp_SPEpH8_2 Phenylalanine,170518,Smp,SPEpH8,2,NA,140263191.8,111449107,175376681.2,196955770.4,113411167.2,140725544.2,117632991.3,126620512.6,181864810.6,127771195.7,651486973.4,D-Phenylalanine.Norm.Area,175376681.2
24,170518_Smp_SPEpH8_3,Phenylalanine,1.26,NA,134863344,25178560,31638876,5.192232742,15.82573585,170518_Smp_SPEpH8_3 Phenylalanine,170518,Smp,SPEpH8,3,NA,167890105.1,131014814.7,219607230.2,202673539.3,139650899.6,63980455.65,153420389.3,250556902.3,379833250.7,166161573.3,554756363.8,D-Phenylalanine.Norm.Area,219607230.2
25,170518_Poo_TruePoo_Full1,Tryptophan,2.215,NA,5214177,-22374873,647725,3.777472135,14.54282442,170518_Poo_TruePoo_Full1 Tryptophan,170518,Poo,TruePoo,Full1,NA,4865812.072,6364814.398,7053261.321,6988459.482,5291938.919,6539776.298,30765411.95,51402315.89,38612271.07,4894179.931,5563932.097,D-Tryptophan.Norm.Area,6988459.482
26,170518_Poo_TruePoo_Full2,Tryptophan,2.225,NA,6122574,-21466476,786568,3.843821865,17.6842177,170518_Poo_TruePoo_Full2 Tryptophan,170518,Poo,TruePoo,Full2,NA,6089574.349,4666820.884,7566233.092,6864296.93,6100291.981,5982152.728,5762172.2,6856072.18,5867160.286,3882308.668,6815368.062,D-Tryptophan.Norm.Area,6864296.93
27,170518_Poo_TruePoo_Full3,Tryptophan,2.255,NA,6152293,-21436757,803300,4.337940648,12.60155497,170518_Poo_TruePoo_Full3 Tryptophan,170518,Poo,TruePoo,Full3,NA,5265819.012,4684681.229,6281774.021,6434759.084,6202213.119,5555653.664,7751572.067,10064779.97,8457964.344,6854766.162,7318606.798,D-Tryptophan.Norm.Area,6434759.084
