"X1","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","S.N","BlkRatio","rawArea"
3282,"170720_Poo_TruePoo_Half3","NADH",11.455,NA,1187,899,109,0.863901019,Inf,0.242628475,1187
3313,"170720_Poo_TruePoo_Full1","Riboflavin Monophosphate",10.49,NA,2520958,2520958,113807,3.147137692,Inf,0,2520958
3314,"170720_Poo_TruePoo_Full2","Riboflavin Monophosphate",10.49,NA,2870736,2870736,126228,3.791968108,97.28818676,0,2870736
3315,"170720_Poo_TruePoo_Full3","Riboflavin Monophosphate",10.49,NA,2518741,2518741,97233,2.513786327,1155.326764,0,2518741
3316,"170720_Poo_TruePoo_Half1","Riboflavin Monophosphate",10.49,NA,1125673,1125673,73460,2.717323504,Inf,0,1125673
3317,"170720_Poo_TruePoo_Half2","Riboflavin Monophosphate",10.49,NA,911491,911491,48442,2.097459782,Inf,0,911491
3318,"170720_Poo_TruePoo_Half3","Riboflavin Monophosphate",10.49,NA,1116295,1116295,41999,6.869296329,Inf,0,1116295
3349,"170720_Poo_TruePoo_Full1","Fructose 6 phosphate",13.45,NA,480699,480699,47891,25.11357818,73.75601635,0,480699
3350,"170720_Poo_TruePoo_Full2","Fructose 6 phosphate",13.45,NA,480364,480364,53092,12.39777009,153.8847868,0,480364
3351,"170720_Poo_TruePoo_Full3","Fructose 6 phosphate",13.45,NA,459864,459864,45001,19.33095128,163.9567682,0,459864
3352,"170720_Poo_TruePoo_Half1","Fructose 6 phosphate",13.45,NA,102851,102851,9473,44.46649373,Inf,0,102851
3353,"170720_Poo_TruePoo_Half2","Fructose 6 phosphate",13.45,NA,151588,151588,19734,157.4122534,Inf,0,151588
3354,"170720_Poo_TruePoo_Half3","Fructose 6 phosphate",13.45,NA,95644,95644,10167,Inf,Inf,0,95644
3385,"170720_Poo_TruePoo_Full1","Ribose 5 phosphate",13.215,NA,211353,211353,14673,99.69481132,Inf,0,211353
3386,"170720_Poo_TruePoo_Full2","Ribose 5 phosphate",13.215,NA,165497,165497,13508,678.2663934,Inf,0,165497
3387,"170720_Poo_TruePoo_Full3","Ribose 5 phosphate",13.215,"Bad IR",279817,279817,17075,13.32715755,Inf,0,279817
3388,"170720_Poo_TruePoo_Half1","Ribose 5 phosphate",13.28,"Bad IR",127730,127730,15491,17.43992354,Inf,0,127730
3389,"170720_Poo_TruePoo_Half2","Ribose 5 phosphate",13.24,"Bad IR",120997,120997,12511,13.19631367,Inf,0,120997
3390,"170720_Poo_TruePoo_Half3","Ribose 5 phosphate",13.26,"Bad IR",105344,105344,10550,4.046711739,Inf,0,105344
3421,"170720_Poo_TruePoo_Full1","3-Sulfopyruvic Acid",14.4,NA,3290264,3290264,511667,2.987203267,Inf,0,3290264
3422,"170720_Poo_TruePoo_Full2","3-Sulfopyruvic Acid",14.38,NA,3329943,3329943,516779,2.504385005,264.5491096,0,3329943
3423,"170720_Poo_TruePoo_Full3","3-Sulfopyruvic Acid",14.395,"Bad IR",3628596,3628596,633128,3.135473769,1754.79217,0,3628596
3424,"170720_Poo_TruePoo_Half1","3-Sulfopyruvic Acid",14.415,NA,946894,946894,119000,2.240251921,Inf,0,946894
3425,"170720_Poo_TruePoo_Half2","3-Sulfopyruvic Acid",14.395,"Bad IR",1275165,1275165,239174,4.290609995,Inf,0,1275165
3426,"170720_Poo_TruePoo_Half3","3-Sulfopyruvic Acid",14.41,NA,1276820,1276820,247379,2.726191569,Inf,0,1276820
3457,"170720_Poo_TruePoo_Full1","Cysteic Acid",12.49,NA,383849,383849,48452,0.860493633,Inf,0,383849
3458,"170720_Poo_TruePoo_Full2","Cysteic Acid",12.43,"Bad IR",452717,452717,60633,1.610725671,Inf,0,452717
3459,"170720_Poo_TruePoo_Full3","Cysteic Acid",12.405,NA,329000,329000,42481,0.934895471,919.9944134,0,329000
3460,"170720_Poo_TruePoo_Half1","Cysteic Acid",12.495,NA,103843,103843,15617,0.654974928,812.2734375,0,103843
3461,"170720_Poo_TruePoo_Half2","Cysteic Acid",12.52,NA,103073,103073,10940,1.039157568,Inf,0,103073
3462,"170720_Poo_TruePoo_Half3","Cysteic Acid",12.42,"Bad IR",159923,159923,12713,1.388184335,Inf,0,159923
3493,"170720_Poo_TruePoo_Full1","DHPS",8.81,NA,3122257,3122034,135504,1.963352718,209.2476489,7.14e-05,3122257
