"","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","Run.Cmpd","runDate","type","SampID","replicate","inj.vol.Norm.Area","13C Acetyl CoA.Norm.Area","13C-Isethionic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area","13C-Sulfolactic Acid.Norm.Area","d3-Cysteic Acid.Norm.Area","d4 Succinic Acid.Norm.Area","d4 Taurine.Norm.Area","D-Methionine.Norm.Area","Heavy Alanine.Norm.Area","Heavy Histidine.Norm.Area","Heavy Isoleucine.Norm.Area","Heavy Proline.Norm.Area","Heavy Valine.Norm.Area","15N GMP.Norm.Area","15N AMP.Norm.Area","PooModel.IS","SmpModel.IS","PooPlusModel.IS","PooModel","SmpModel","PooPlusModel"
"1862","170516_Std_StdsInH2O_1","Taurine",10.64,"Standards",26049558,NA,1607017,NA,"170516_Std_StdsInH2O_1 Taurine","170516","Std","StdsInH2O","1",26049558,39793078.0985443,10611071836.1209,703269834287.77,3727717032.35602,13363101709.5613,1013672609.00951,9393442209.45048,3713912816.40656,20790062489.8702,185223591.773726,7320445.87460186,389153788.525514,2242152578.05357,75021316310.1789,1521020209016.37,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,26049558,26049558
"1863","170516_Std_StdsInH2O_2","Taurine",9.86,"Standards",36753300,NA,2225161,NA,"170516_Std_StdsInH2O_2 Taurine","170516","Std","StdsInH2O","2",36753300,22304375.0723046,77183322998.1421,231523327451.085,31970507170.7356,2280092810.50917,844485159.630501,6196446354.87864,27756148302.9622,26333344568.418,121193017.700525,9116340.48071281,397537282.411526,17551200451.6264,222971759888.945,126878203142.226,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,36753300,36753300
"1864","170516_Std_StdsInH2O_1","Propanesulfonate",3.1,"Standards",185511872,NA,8046870,NA,"170516_Std_StdsInH2O_1 Propanesulfonate","170516","Std","StdsInH2O","1",185511872,283386321.207568,75566725556.1598,5008334632006.19,26546928932.869,95165300457.9621,7218867333.27601,66895378754.5637,26448622238.288,148056385889.266,1319069415.63107,52132539.7564162,2771357878.90375,15967484825.0532,534264144850.574,10831942189746.9,"d4 Succinic Acid.Norm.Area","inj.vol.Norm.Area","d4 Succinic Acid.Norm.Area",7218867333.27601,185511872,7218867333.27601
"1865","170516_Std_StdsInH2O_2","Propanesulfonate",2.57,"Standards",141825744,NA,10390661,NA,"170516_Std_StdsInH2O_2 Propanesulfonate","170516","Std","StdsInH2O","2",141825744,86069402.9946877,297839437781.201,893415507426.7,123369628456.408,8798553034.40819,3258747814.79635,23911202924.2748,107107018516.486,101616621784.282,467666574.239106,35178658.0044353,1534039687.47712,67727579894.7321,860416227583.347,489604894200.776,"d4 Succinic Acid.Norm.Area","inj.vol.Norm.Area","d4 Succinic Acid.Norm.Area",3258747814.79635,141825744,3258747814.79635
"1866","170516_Std_StdsInH2O_1","Glutathione Disulfide",15.26,"Standards",23811200,NA,101350,NA,"170516_Std_StdsInH2O_1 Glutathione Disulfide","170516","Std","StdsInH2O","1",23811200,36373781.8975684,9699295231.96679,642840031227.898,3407405830.10413,12214851684.881,926570854.969873,8586292755.43437,3394787767.7625,19003636682.0043,169307901.056999,6691422.58802702,355715006.348235,2049491337.49406,68574966489.8319,1390323643914.82,"13C-Sulfolactic Acid.Norm.Area","inj.vol.Norm.Area","13C-Sulfolactic Acid.Norm.Area",3407405830.10413,23811200,3407405830.10413
"1867","170516_Std_StdsInH2O_2","Glutathione Disulfide",18.42,"Standards",47390260,NA,221039,NA,"170516_Std_StdsInH2O_2 Glutathione Disulfide","170516","Std","StdsInH2O","2",47390260,28759598.0174307,99521342152.8389,298529674450.241,41223254705.102,2939986099.5927,1088891916.67227,7989791497.19211,35789196743.5833,33954612123.7254,156268107.054672,11754747.0738547,512590574.810307,22630782887.9228,287503154105.745,163598671010.302,"13C-Sulfolactic Acid.Norm.Area","inj.vol.Norm.Area","13C-Sulfolactic Acid.Norm.Area",41223254705.102,47390260,41223254705.102
"1868","170516_Std_StdsInH2O_1","Vitamin B3",4.2,"Standards",665583168,NA,22206714,NA,"170516_Std_StdsInH2O_1 Vitamin B3","170516","Std","StdsInH2O","1",665583168,1016739055.04656,271119794376.585,17969002171326.2,95245597326.568,341435949514.23,25899995171.4872,240008564605.625,94892890621.0109,531199633211.657,4732583370.55452,187042158.503804,9943132678.33618,57288458254.8487,1916843478774.53,38863056690218.6,"Heavy Proline.Norm.Area","inj.vol.Norm.Area","Heavy Proline.Norm.Area",9943132678.33618,665583168,9943132678.33618
"1869","170516_Std_StdsInH2O_2","Vitamin B3",3.58,"Standards",678877440,NA,17235264,NA,"170516_Std_StdsInH2O_2 Vitamin B3","170516","Std","StdsInH2O","2",678877440,411988503.070091,1425668354342.93,4276512961836.74,590533532052.106,42116043189.6149,15598651639.1166,114455780528.479,512689279715.709,486408391824.558,2238580089.47243,168389719.772501,7342989407.42992,324191678883.991,4118555273831.25,2343592269020.59,"Heavy Proline.Norm.Area","inj.vol.Norm.Area","Heavy Proline.Norm.Area",7342989407.42992,678877440,7342989407.42992
"1870","170516_Std_StdsInH2O_1","Thiamine monophosphate",12.12,"Standards",1676358656,NA,119545800,NA,"170516_Std_StdsInH2O_1 Thiamine monophosphate","170516","Std","StdsInH2O","1",1676358656,2560790894.00975,682850823108.749,45257292819017.8,239888550673.629,859951298284.271,65232540700.4295,604493103393.466,239000212495.447,1337896067705.83,11919633007.4121,471090250.65486,25043086025.1041,144288508937.189,4827822145046.85,97881714282273.8,"inj.vol.Norm.Area","inj.vol.Norm.Area","inj.vol.Norm.Area",1676358656,1676358656,1676358656
"1871","170516_Std_StdsInH2O_2","Thiamine monophosphate",11.83,"Standards",NA,NA,133784272,NA,"170516_Std_StdsInH2O_2 Thiamine monophosphate","170516","Std","StdsInH2O","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area","inj.vol.Norm.Area",NA,NA,NA
"1872","170516_Std_StdsInH2O_1","Choline",11.81,"Standards",NA,NA,133823944,NA,"170516_Std_StdsInH2O_1 Choline","170516","Std","StdsInH2O","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,NA,NA
"1873","170516_Std_StdsInH2O_2","Choline",13.16,"Standards",NA,NA,133539472,NA,"170516_Std_StdsInH2O_2 Choline","170516","Std","StdsInH2O","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,NA,NA
"1874","170516_Std_StdsInH2O_1","Methionine Sulfoxide",10.18,"Standards",1310996224,NA,100138328,NA,"170516_Std_StdsInH2O_1 Methionine Sulfoxide","170516","Std","StdsInH2O","1",1310996224,2002666422.53695,534023460580.301,35393464150308.1,187604832049.712,672524880543.569,51015106006.1633,472743808818.246,186910107210.81,1046301569529.28,9321748546.02418,368416112.841508,19584944485.9004,112840822998.229,3775598127313.87,76548390980305.7,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","d4 Taurine.Norm.Area",472743808818.246,1310996224,472743808818.246
"1875","170516_Std_StdsInH2O_2","Methionine Sulfoxide",9.44,"Standards",861649344,NA,67037108,NA,"170516_Std_StdsInH2O_2 Methionine Sulfoxide","170516","Std","StdsInH2O","2",861649344,522906790.665906,1809496280037.15,5427864252160.33,749520901007.846,53454804723.2316,19798224480.8862,145270327747.777,650718900812.012,617362497318.699,2841265524.43013,213724721.17842,9319917901.39754,411472720968.088,5227380143792.13,2974549782071.22,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","d4 Taurine.Norm.Area",145270327747.777,861649344,145270327747.777
"1876","170516_Std_StdsInH2O_1","Cys-Gly oxidized",12.17,"Standards",338762176,NA,12510500,NA,"170516_Std_StdsInH2O_1 Cys-Gly oxidized","170516","Std","StdsInH2O","1",338762176,517490151.902033,137991968420.218,9145691430867.43,48477196173.2782,173780814754.718,13182332643.7884,122157271267.47,48297678876.5542,270364925510.23,2408745169.33466,95198934.8061242,5060760885.06174,29158133365.0819,975616721006.187,19780148121759.3,"13C-Isethionic Acid.Norm.Area","inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area",137991968420.218,338762176,137991968420.218
"1877","170516_Std_StdsInH2O_2","Cys-Gly oxidized",11.55,"Standards",948139072,NA,45002056,NA,"170516_Std_StdsInH2O_2 Cys-Gly oxidized","170516","Std","StdsInH2O","2",948139072,575394576.339943,1991127986910.96,5972696678551.96,824755518558.351,58820434666.548,21785509752.045,159852119309.352,716036075516.076,679331458175.35,3126463075.02878,235177755.559884,10255422779.208,452775095261.951,5752088588053.63,3273125999142.88,"13C-Isethionic Acid.Norm.Area","inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area",1991127986910.96,948139072,1991127986910.96
"1878","170516_Std_StdsInH2O_1","N-Acetyl-Lysine",9.79,"Standards",NA,NA,133771648,NA,"170516_Std_StdsInH2O_1 N-Acetyl-Lysine","170516","Std","StdsInH2O","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area","inj.vol.Norm.Area",NA,NA,NA
"1879","170516_Std_StdsInH2O_2","N-Acetyl-Lysine",9.41,"Standards",NA,NA,133936184,NA,"170516_Std_StdsInH2O_2 N-Acetyl-Lysine","170516","Std","StdsInH2O","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area","inj.vol.Norm.Area",NA,NA,NA
