"X1","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","S.N","BlkRatio","rawArea"
22,"170724_Smp_SPEpH8-nospike_1","Phenylalanine",1.37,NA,29979102,29769380,5822953,5.370517128,3.599858365,0.006995606,29979102
23,"170724_Smp_SPEpH8-nospike_2","Phenylalanine",1.38,NA,63343640,63133918,11653880,5.205508384,5.775929132,0.003310861,63343640
24,"170724_Smp_SPEpH8-nospike_3","Phenylalanine",1.375,NA,45707192,45497470,8626859,5.139718408,4.569534405,0.004588381,45707192
25,"170724_Smp_SPEpH8-spikeafter_1a","Phenylalanine",1.4,NA,367058944,366849222,76640136,5.349931724,12.79052343,0.000571358,367058944
26,"170724_Smp_SPEpH8-spikeafter_1b","Phenylalanine",1.4,NA,352999744,352790022,75277224,5.228122616,12.01931634,0.000594114,352999744
27,"170724_Smp_SPEpH8-spikeafter_1c","Phenylalanine",1.405,NA,350523648,350313926,75577752,5.100665472,12.53622109,0.000598311,350523648
28,"170724_Smp_SPEpH8-spikeafter_2a","Phenylalanine",1.4,NA,168442976,168233254,38370864,5.262387292,11.91364784,0.001245062,168442976
29,"170724_Smp_SPEpH8-spikeafter_2b","Phenylalanine",1.4,NA,157565664,157355942,36020540,5.271409413,11.14592609,0.001331013,157565664
30,"170724_Smp_SPEpH8-spikeafter_2c","Phenylalanine",1.41,NA,160747904,160538182,35923012,5.090831564,12.14369987,0.001304664,160747904
31,"170724_Smp_SPEpH8-spikeafter_3a","Phenylalanine",1.4,NA,117149632,116939910,26157564,5.328480209,9.077604824,0.001790206,117149632
32,"170724_Smp_SPEpH8-spikeafter_3b","Phenylalanine",1.4,NA,110336376,110126654,24672698,5.290921834,9.157443083,0.001900751,110336376
33,"170724_Smp_SPEpH8-spikeafter_3c","Phenylalanine",1.405,NA,112554960,112345238,24750556,5.345222014,9.76025617,0.001863285,112554960
34,"170724_Smp_SPEpH8-spikebefore_1","Phenylalanine",1.37,NA,331113824,330904102,68964840,5.652527891,9.633735967,0.000633383,331113824
35,"170724_Smp_SPEpH8-spikebefore_2","Phenylalanine",1.38,NA,355299872,355090150,76201568,5.540637825,9.504881751,0.000590268,355299872
36,"170724_Smp_SPEpH8-spikebefore_3","Phenylalanine",1.39,NA,395407072,395197350,77985968,5.294431429,10.48476238,0.000530395,395407072
58,"170724_Smp_SPEpH8-nospike_1","Tryptophan",2.42,NA,3362914,3351161,310200,0.706125305,3.10171091,0.003494886,3362914
59,"170724_Smp_SPEpH8-nospike_2","Tryptophan",2.415,NA,3037993,3026240,281993,0.585388379,2.931753251,0.003868673,3037993
60,"170724_Smp_SPEpH8-nospike_3","Tryptophan",2.42,"Bad IR",4384101,4372348,450476,0.909577732,5.842566103,0.002680823,4384101
61,"170724_Smp_SPEpH8-spikeafter_1a","Tryptophan",2.465,"Bad IR",35358432,35346679,4258200,2.324233516,8.443275557,0.000332396,35358432
62,"170724_Smp_SPEpH8-spikeafter_1b","Tryptophan",2.475,"Bad IR",34635220,34623467,4256467,2.346567252,11.12263109,0.000339337,34635220
63,"170724_Smp_SPEpH8-spikeafter_1c","Tryptophan",2.48,"Bad IR",34558460,34546707,4089442,2.440442534,10.60460664,0.00034009,34558460
64,"170724_Smp_SPEpH8-spikeafter_2a","Tryptophan",2.46,"Bad IR",18422484,18410731,2133967,2.319340731,9.649999742,0.00063797,18422484
65,"170724_Smp_SPEpH8-spikeafter_2b","Tryptophan",2.46,"Bad IR",14817749,14805996,1978969,2.215797477,4.627058491,0.00079317,14817749
66,"170724_Smp_SPEpH8-spikeafter_2c","Tryptophan",2.48,"Bad IR",17345136,17333383,2166578,2.309576418,9.983174741,0.000677596,17345136
67,"170724_Smp_SPEpH8-spikeafter_3a","Tryptophan",2.465,"Bad IR",12651651,12639898,1451610,1.793917414,10.66864268,0.00092897,12651651
68,"170724_Smp_SPEpH8-spikeafter_3b","Tryptophan",2.475,"Bad IR",12800414,12788661,1390139,1.774568347,9.413802396,0.000918173,12800414
69,"170724_Smp_SPEpH8-spikeafter_3c","Tryptophan",2.48,"Bad IR",12148653,12136900,1350470,1.807546383,9.905468417,0.000967432,12148653
70,"170724_Smp_SPEpH8-spikebefore_1","Tryptophan",2.415,"Bad IR",33053808,33042055,3466616,2.629809132,15.50463195,0.000355572,33053808
71,"170724_Smp_SPEpH8-spikebefore_2","Tryptophan",2.435,NA,35829404,35817651,3612715,2.842313172,7.696596697,0.000328027,35829404
72,"170724_Smp_SPEpH8-spikebefore_3","Tryptophan",2.45,"Bad IR",40556828,40545075,4267448,2.623433466,8.978917171,0.000289791,40556828
94,"170724_Smp_SPEpH8-nospike_1","Kynurenine",1.31,NA,0,216195,47149,2.865521492,1.191460928,0,216195
95,"170724_Smp_SPEpH8-nospike_2","Kynurenine",1.295,NA,0,185897,76726,12.97982125,1.208293556,0,185897
96,"170724_Smp_SPEpH8-nospike_3","Kynurenine",1.33,NA,0,228893,72483,14.07792607,1.164300778,0,228893
97,"170724_Smp_SPEpH8-spikeafter_1a","Kynurenine",1.515,NA,8674090,8674090,1501714,1.495246084,4.844465206,0,8674090
98,"170724_Smp_SPEpH8-spikeafter_1b","Kynurenine",1.51,NA,8686494,8686494,1454436,1.603020209,5.678131008,0,8686494
99,"170724_Smp_SPEpH8-spikeafter_1c","Kynurenine",1.515,NA,8348496,8348496,1437592,1.412745155,5.687135453,0,8348496
100,"170724_Smp_SPEpH8-spikeafter_2a","Kynurenine",1.51,"bad S/N",3832171,3832171,692147,1.75529439,3.770545185,0,3832171
101,"170724_Smp_SPEpH8-spikeafter_2b","Kynurenine",1.515,"bad S/N",3101533,3101533,565371,1.420560743,2.866917834,0,3101533
102,"170724_Smp_SPEpH8-spikeafter_2c","Kynurenine",1.51,"bad S/N",3635702,3635702,602698,1.8086351,3.338766888,0,3635702
103,"170724_Smp_SPEpH8-spikeafter_3a","Kynurenine",1.51,"Bad IR",2624672,2624672,454623,2.010991731,4.016177927,0,2624672
104,"170724_Smp_SPEpH8-spikeafter_3b","Kynurenine",1.505,"bad S/N",2098046,2098046,381361,1.665328665,2.408266032,0,2098046
105,"170724_Smp_SPEpH8-spikeafter_3c","Kynurenine",1.515,"bad S/N",2178648,2178648,386125,1.842109357,3.437410848,0,2178648
106,"170724_Smp_SPEpH8-spikebefore_1","Kynurenine",1.48,"bad S/N",6615857,6615857,1156408,1.474514047,3.782203354,0,6615857
107,"170724_Smp_SPEpH8-spikebefore_2","Kynurenine",1.485,NA,8600625,8600625,1382576,1.678296481,4.372717405,0,8600625
